,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
42,1999-08,0.2,0.0,0.2,,0.1,0.0,-0.1,0.1197318,0.1,0.1,,0.2,0.3,0.8,0.0,0.2,0.5,0.9,-0.6,0.0,-0.2,3.8,0.4,0.1,-0.6,0.5,-0.1,0.9,0.9,-0.1,2.8,
43,1999-09,0.2,0.0,0.1,,0.3,0.0,0.6,0.08371203,-0.1,-0.1,,0.5,-0.1,0.8,4.2,0.5,0.6,2.9,1.0,0.0,-0.1,0.0,0.3,-0.2,0.6,0.6,-0.2,0.9,0.8,0.3,6.3,
44,1999-10,0.0,0.0,0.1,,0.1,0.0,0.1,0.05974429,0.0,0.0,,0.2,0.1,-0.7,0.2,0.4,0.4,-0.1,0.2,0.1,-0.2,0.2,0.4,0.1,0.1,0.5,0.0,0.6,0.5,0.0,3.1,
45,1999-11,-0.2,0.0,-0.1,,0.2,-0.1,0.0,0.01194172,0.2,-0.2,,-0.1,-0.5,1.3,-0.1,0.0,0.3,0.2,-0.1,0.5,-0.1,0.1,-0.1,0.2,0.0,0.5,0.3,0.7,-0.1,0.0,3.8,
46,1999-12,0.1,0.0,0.0,,-0.1,0.0,0.0,0.03582089,0.3,-0.3,,-0.1,0.1,2.0,-0.2,0.0,0.6,0.3,0.0,0.0,-1.0,0.4,-0.3,0.0,-0.3,0.4,0.1,0.4,0.5,0.2,3.0,
47,2000-01,0.1,-0.7,-0.8,,0.1,0.1,0.6,-0.1,0.4,0.1,-0.1,0.0,-0.3,-5.1,-3.3,-1.6,0.6,-2.2,-0.5,0.0,0.0,-2.7,1.0,0.1,-0.7,0.5,0.9,0.3,0.5,-0.7,8.5,
48,2000-02,0.4,0.8,-0.1,,-0.1,0.0,0.2,0.2,0.4,-0.2,0.3,0.0,-0.2,0.5,-0.7,0.6,0.4,2.2,0.5,0.7,0.0,3.0,0.2,0.0,1.4,0.5,0.0,0.4,0.4,0.5,1.9,
49,2000-03,0.0,0.2,-0.2,,0.0,0.1,0.2,0.3,0.3,0.2,0.4,0.1,1.0,1.0,4.5,0.5,0.4,0.6,0.4,0.0,-0.1,0.1,-0.3,0.3,0.2,0.4,0.2,0.1,0.4,-0.6,2.5,
50,2000-04,0.2,0.1,-0.3,,0.1,0.0,0.0,0.1,0.2,0.1,0.2,-0.2,0.2,-0.1,0.3,0.1,0.4,0.2,0.1,0.1,-0.2,0.1,-0.1,0.3,-0.1,0.4,0.2,0.0,0.1,0.2,3.0,
51,2000-05,0.0,0.1,0.0,,-0.2,-0.2,0.2,0.1,0.4,0.1,0.1,0.4,0.1,0.2,0.3,0.3,0.3,0.4,0.1,0.4,-0.2,0.3,0.1,0.4,-0.3,0.5,0.1,-0.1,0.1,0.3,2.5,
52,2000-06,-0.2,0.1,0.1,,-0.2,0.0,0.0,0.0,0.3,0.0,0.1,-0.1,0.0,-0.6,0.3,-0.1,0.4,0.5,-0.5,0.0,-0.3,0.1,-0.4,0.0,0.1,0.4,0.2,-0.2,0.4,0.2,2.6,
53,2000-07,0.0,-0.4,0.3,,-0.1,0.0,0.0,-0.1,0.2,-0.2,-0.1,-0.3,-0.2,-1.9,-3.8,0.0,0.3,-0.8,0.6,0.1,-0.1,-2.8,-0.2,0.4,0.1,0.2,0.0,-0.2,0.4,-0.7,3.5,
54,2000-08,-0.1,0.4,0.2,,-0.1,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.4,0.6,0.2,-0.1,0.4,1.0,-0.4,0.1,-0.1,3.2,0.1,0.0,-0.5,0.4,0.0,-0.1,0.4,0.9,2.5,
55,2000-09,0.0,0.1,-0.1,,-0.1,0.0,0.2,0.2,0.1,0.1,0.3,0.3,0.3,1.5,4.4,-0.1,0.7,0.4,0.4,0.0,-0.1,0.1,0.3,0.5,0.5,0.6,0.1,-0.2,0.7,0.2,3.1,
56,2000-10,0.0,0.2,0.3,,-0.1,0.1,0.1,0.2,0.3,0.0,0.2,0.4,0.3,-1.1,0.3,0.0,0.5,0.4,0.1,0.3,-0.2,0.2,0.1,0.5,-0.1,0.4,0.2,0.0,1.0,0.0,1.5,
57,2000-11,0.1,0.4,0.5,,0.1,0.0,0.1,0.1,0.2,-0.2,0.1,0.5,-0.4,1.2,0.3,-0.1,0.3,0.3,0.1,0.4,-0.1,0.5,0.5,0.3,0.1,0.4,0.4,-0.3,0.5,0.2,3.0,
58,2000-12,0.0,0.3,0.1,,0.1,0.0,0.2,0.1,0.2,0.0,0.1,0.1,0.2,1.5,0.2,0.2,0.4,0.5,-0.1,0.0,-0.9,0.0,-1.1,0.1,-0.1,0.1,0.3,-0.1,0.5,0.1,2.3,
59,2001-01,0.4,-0.3,0.5,,0.0,0.1,0.0,0.0,-0.4,0.4,0.0,0.2,-0.4,-3.8,-2.9,-1.3,0.6,-2.3,-0.5,0.0,0.4,-3.2,0.3,1.8,-0.5,0.4,1.1,-0.1,0.6,-0.3,1.9,
60,2001-02,0.4,0.6,0.4,,0.1,0.2,0.7,0.3,0.1,0.5,0.3,0.2,0.3,0.9,-0.5,0.2,0.5,2.2,0.6,0.4,-0.2,3.4,0.1,0.8,2.2,0.4,0.3,0.2,1.2,0.7,3.1,
61,2001-03,0.4,0.4,0.1,,0.1,0.1,0.4,0.4,0.4,0.1,0.4,0.2,0.9,1.4,3.8,-0.1,0.6,0.7,0.7,0.3,-0.1,0.2,0.4,0.3,-0.1,0.4,0.2,-0.1,1.1,0.5,5.7,
62,2001-04,0.0,0.3,0.3,,0.1,0.1,0.2,0.3,0.6,0.1,0.3,0.3,0.4,-0.5,0.4,-0.1,0.3,0.3,1.0,0.1,-0.5,0.1,-0.1,0.2,-0.1,0.4,0.2,-0.1,1.6,0.1,11.6,
63,2001-05,0.2,0.3,0.2,,0.0,0.2,0.0,0.2,0.5,0.2,0.3,0.5,0.2,0.6,0.1,0.1,0.3,0.2,1.4,0.4,-0.2,0.2,0.4,0.1,0.0,0.2,0.3,0.0,0.0,0.7,6.8,
