,TIME_PERIOD,AUT,BEL,BGR,CHE,CZE,DEU,DNK,EA20,ESP,EST,EU27_2020,FIN,FRA,GBR,GRC,HRV,HUN,IRL,ISL,ITA,LTU,LUX,LVA,NLD,NOR,POL,PRT,SVK,SVN,SWE,TUR,USA
34,1998-12,0.0,-0.5,0.2,,0.0,-0.1,0.0,-0.06282394,0.0,0.4,,-0.3,0.0,0.0,0.0,0.1,0.3,-0.2,0.0,0.0,0.3,-0.3,0.1,0.0,0.9,0.0,0.1,0.1,2.4,-0.1,5.1,
35,1999-01,0.1,0.2,9.6,,1.1,0.1,0.5,0.01571586,-0.6,3.7,,0.5,-0.4,0.1,-0.9,1.0,1.6,-0.2,0.1,-0.3,0.1,-1.6,0.5,1.6,1.7,2.3,-1.0,13.4,1.0,0.0,5.2,
36,1999-02,-0.1,0.0,0.6,,0.2,0.0,0.6,0.04714016,-0.2,0.5,,0.4,0.1,-0.1,-0.1,0.8,1.7,0.6,0.1,0.2,0.1,1.4,0.3,0.0,-0.2,1.1,0.4,0.8,0.2,0.0,4.8,
37,1999-03,0.0,0.6,0.6,,0.2,0.4,0.5,0.2827077,0.4,1.4,,0.3,0.2,0.1,1.2,0.1,2.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,2.6,0.5,0.4,0.2,0.0,4.0,
38,1999-04,0.4,0.8,0.0,,0.0,1.4,0.0,0.8770556,0.3,0.0,,0.2,0.4,1.2,1.1,0.0,0.8,0.8,0.0,0.5,0.0,1.4,0.0,-0.1,-0.5,0.6,0.3,0.3,0.2,-0.7,5.5,
39,1999-05,0.1,0.1,0.1,,0.0,0.0,0.5,-0.04657662,0.0,0.0,,0.6,-0.6,0.0,0.3,0.3,0.4,0.8,0.0,0.3,0.0,0.3,0.2,0.1,-1.0,0.2,0.3,0.3,0.2,0.2,4.0,
40,1999-06,0.0,-0.3,0.3,,0.0,0.0,0.2,0.03106555,0.6,0.1,,0.3,0.0,0.1,0.2,0.3,0.1,-0.2,0.1,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.1,0.2,0.0,5.2,
41,1999-07,0.3,0.9,6.9,,2.3,0.3,0.8,0.5590062,0.8,0.1,,0.5,0.2,0.2,0.3,0.1,0.7,1.0,1.3,0.5,0.4,-1.0,0.0,1.1,-0.5,0.4,0.0,25.0,3.4,0.1,6.3,
42,1999-08,0.2,0.3,2.4,,0.0,0.3,0.9,0.2779494,1.1,0.2,,0.1,0.3,0.2,0.1,0.0,0.4,0.6,0.9,0.2,0.6,2.3,0.2,0.0,0.2,0.6,0.2,0.4,3.3,0.1,6.7,
43,1999-09,0.0,0.6,0.1,,0.2,0.0,0.5,0.2463813,0.2,-0.1,,0.5,0.2,0.2,0.2,0.1,0.6,0.8,0.1,1.1,0.1,0.6,0.3,0.0,1.9,0.6,0.2,0.2,0.3,0.1,5.9,
44,1999-10,0.4,0.0,0.0,,0.0,-0.3,0.2,-0.1843318,-0.6,-0.6,,-0.2,-0.4,0.1,0.1,0.0,0.4,0.8,0.1,0.2,0.0,0.9,0.2,0.0,2.0,0.8,0.1,0.2,2.2,-0.2,6.3,
45,1999-11,0.2,0.4,0.0,,0.2,0.1,0.3,0.2308403,0.5,0.0,,0.4,0.1,0.2,1.2,0.1,0.2,0.2,0.1,0.6,-0.1,0.1,0.7,0.2,1.5,0.8,0.3,0.1,1.0,-0.2,4.1,
46,1999-12,0.8,0.8,0.0,,0.0,0.4,0.5,0.4299094,0.5,0.4,,0.4,0.6,0.3,0.0,0.0,0.3,1.7,-0.1,0.5,0.4,1.2,0.2,-0.1,0.5,0.4,0.4,0.1,1.0,0.1,6.3,
47,2000-01,-0.1,0.5,5.1,,5.9,0.4,1.5,0.6,0.0,0.4,0.9,0.0,-0.2,0.2,0.9,1.9,1.4,0.4,1.4,0.3,9.2,0.3,1.7,3.5,2.9,2.0,0.4,7.7,1.0,0.5,5.3,
48,2000-02,0.2,1.1,0.5,,0.2,0.4,1.2,0.5,0.6,0.3,0.6,0.8,0.4,0.0,1.1,0.1,1.5,0.6,0.4,0.5,0.5,0.2,0.1,0.0,-0.3,1.2,0.5,13.5,2.2,0.1,3.5,
49,2000-03,0.3,1.1,0.4,,0.0,0.3,0.1,0.4,0.5,0.2,0.5,0.2,0.3,0.0,0.8,1.3,1.6,1.1,0.1,0.8,0.0,0.6,0.1,0.3,-1.3,0.8,0.1,0.9,1.5,0.0,2.7,
50,2000-04,-0.2,-0.9,-0.1,,0.2,0.1,0.0,0.0,0.4,0.1,0.5,-0.4,-0.3,-0.5,-0.7,0.3,1.0,0.0,4.4,0.2,1.1,0.9,1.0,0.0,-0.6,1.2,0.5,0.4,0.9,-0.3,2.7,
51,2000-05,0.2,1.2,0.5,,0.2,0.4,0.0,0.5,0.3,0.0,0.5,1.3,0.4,-0.1,0.2,-0.4,0.2,0.6,0.7,1.1,0.0,-0.6,0.1,0.0,-1.1,1.0,0.5,0.1,1.0,-0.1,1.9,
52,2000-06,1.2,0.2,0.2,,0.2,0.3,0.0,0.2,0.4,0.3,0.3,0.4,0.1,0.0,0.3,0.2,0.2,0.6,0.7,0.0,0.0,1.4,0.1,0.1,0.3,0.8,0.6,0.1,0.3,0.2,2.4,
53,2000-07,0.3,0.3,0.1,,1.2,0.4,0.1,0.5,0.2,1.5,0.7,0.3,0.2,0.3,0.3,0.4,0.8,0.4,-0.2,0.9,0.0,0.4,0.1,2.2,-0.2,0.8,0.3,0.2,2.5,0.1,2.4,
54,2000-08,0.2,1.0,2.4,,0.2,0.3,0.4,0.4,0.3,0.2,0.5,0.5,0.5,0.2,0.2,0.3,1.1,1.5,0.7,0.2,0.0,1.1,0.0,0.0,0.2,0.6,0.3,0.1,1.6,0.2,3.0,
55,2000-09,1.1,4.3,1.3,,0.0,1.6,1.2,1.4,0.7,0.3,1.4,1.9,1.2,0.6,0.6,0.0,1.6,1.3,-0.1,1.5,0.4,2.1,0.1,0.1,1.6,0.9,0.1,0.0,4.4,0.6,3.3,
56,2000-10,0.8,-0.3,0.4,,0.2,0.0,0.1,0.1,0.8,0.4,0.2,-0.2,-0.5,0.4,4.2,3.5,1.2,2.7,0.0,0.0,0.1,1.2,0.4,0.2,0.6,1.1,0.3,0.2,0.5,0.4,2.7,
57,2000-11,0.4,0.4,0.4,,0.2,0.1,-0.1,0.4,0.2,0.6,0.6,-0.1,0.8,-0.1,2.8,1.2,0.7,1.0,0.3,0.9,3.3,0.3,0.4,0.1,2.0,0.6,0.7,0.4,2.0,0.4,3.6,
58,2000-12,0.4,-1.3,0.0,,0.2,0.0,-0.1,-0.1,0.1,0.1,-0.1,-0.7,-0.3,0.0,-1.7,0.1,0.2,0.2,0.1,0.0,-0.2,0.9,0.8,0.0,0.5,0.4,0.4,0.0,-0.3,0.0,3.5,
59,2001-01,-0.3,-1.1,0.8,,8.1,0.4,0.9,0.2,-0.5,4.5,0.5,-1.0,-1.2,-0.1,-3.5,-0.1,1.7,-1.2,-0.5,0.4,-1.5,-2.8,0.6,4.1,3.4,1.5,1.1,5.7,-0.9,1.6,4.2,
60,2001-02,-0.1,0.8,0.7,,0.2,0.4,0.7,0.3,0.3,1.5,0.4,1.3,0.2,0.1,1.2,0.8,1.8,-0.7,0.9,0.0,-0.1,-1.3,0.1,0.0,0.7,0.7,0.2,8.7,0.8,0.3,1.5,
61,2001-03,0.2,0.4,0.6,,0.2,0.0,-0.1,0.1,0.3,0.2,0.2,-0.4,-0.1,-0.1,-0.2,-0.1,1.1,0.9,-0.4,0.0,-0.1,0.6,0.0,0.0,1.0,1.6,0.3,0.9,2.6,0.2,11.2,
62,2001-04,0.1,0.6,0.2,,0.2,0.3,0.1,0.2,0.8,0.6,0.2,0.0,0.1,1.9,0.1,0.1,0.2,-0.3,0.4,0.1,-0.3,-0.2,-0.4,-0.8,0.7,0.9,0.2,0.2,-1.0,1.0,12.6,
63,2001-05,0.1,0.2,0.2,,0.0,0.1,0.0,0.2,0.1,0.4,0.2,1.2,0.7,0.2,0.1,-0.1,0.3,1.4,0.2,-0.7,0.6,1.1,0.4,0.0,0.4,0.2,0.2,0.0,1.3,0.4,4.8,
64,2001-06,0.1,0.7,0.3,,0.2,0.4,0.3,0.3,0.4,0.1,0.3,1.1,0.2,0.1,0.1,0.2,0.2,0.7,1.1,0.1,0.2,0.2,0.1,0.0,0.3,0.2,0.1,0.0,0.9,0.4,4.2,
65,2001-07,0.1,-0.4,0.1,,2.6,-0.1,0.3,0.1,0.0,0.6,0.4,-0.1,0.0,-0.2,0.9,0.0,0.2,0.2,2.0,-0.1,0.1,0.0,0.1,2.7,0.3,1.6,0.0,0.1,0.4,0.4,4.1,
66,2001-08,0.1,-0.2,0.2,,0.2,0.1,0.1,0.0,-0.3,0.0,0.3,0.0,0.0,0.2,0.2,1.0,0.9,0.2,0.5,0.0,0.7,-0.1,0.2,0.0,0.3,0.2,0.1,0.2,-0.4,0.4,4.8,
67,2001-09,0.4,0.7,0.1,,0.2,0.4,0.0,0.3,0.3,0.1,0.4,0.8,0.3,0.4,0.2,0.8,1.0,-0.2,0.1,0.0,0.0,-0.1,0.1,0.0,0.3,0.5,0.1,0.0,0.2,0.0,6.2,
68,2001-10,-0.3,-1.0,6.2,,0.2,-0.5,0.0,-0.3,-0.1,0.3,0.0,-0.6,-0.1,-0.2,0.1,-0.5,0.6,0.9,0.1,0.0,0.0,-0.9,0.0,-0.2,-0.3,0.5,0.2,0.1,0.3,0.0,3.5,
69,2001-11,0.1,-0.5,0.2,,0.0,-0.3,-0.4,-0.1,0.0,0.0,0.2,-0.2,0.0,-0.1,-0.5,-0.3,0.2,-0.8,0.2,0.6,0.7,0.0,-0.1,0.0,0.1,0.2,0.1,0.1,0.2,-0.1,2.7,
70,2001-12,-0.2,-0.7,-2.0,,0.0,-0.3,0.9,-0.2,-0.2,0.0,-0.1,-0.6,-0.2,0.1,-0.7,-0.5,0.2,0.9,-0.2,0.0,0.0,-1.5,0.1,0.0,0.1,0.2,0.0,0.0,-1.5,-0.2,1.8,
71,2002-01,0.2,0.2,4.1,,4.1,0.7,0.7,0.5,0.8,2.5,0.8,0.6,0.3,0.7,1.1,0.8,1.0,1.0,1.5,-0.6,1.2,-0.2,0.4,1.7,1.6,1.4,1.0,2.2,1.8,1.7,3.2,0.6
72,2002-02,-0.4,0.0,0.7,,0.0,0.0,0.8,0.1,0.2,0.3,0.2,0.6,0.2,0.0,0.4,0.2,1.5,0.2,0.5,0.1,0.0,0.6,-0.1,0.0,-0.1,0.5,0.3,0.2,0.8,-0.1,0.8,-0.2
73,2002-03,0.1,0.6,0.4,,0.2,0.3,0.1,0.2,0.3,0.5,0.2,0.3,0.3,0.0,1.0,0.1,0.8,0.3,-0.3,-0.1,-0.1,0.1,-0.2,0.0,-1.4,0.2,0.2,0.1,0.7,-0.1,1.6,0.2
74,2002-04,0.3,0.5,0.2,,-1.2,0.1,0.7,0.2,0.3,4.6,0.3,0.3,0.4,1.2,1.2,0.8,0.3,0.7,1.5,0.1,0.0,1.2,0.0,0.1,-1.3,0.5,0.2,0.1,2.6,0.5,1.5,0.2
